date,station,depth_m,temp_c,sal_psu,density_kg_per_m3,par,fluor_mg_per_m3,turbidity_ntu,O2_umol_per_kg,O2_pct_sat,ph
20240905,S4,57.748,8.712,32.2811,25.0347,6.02E-05,0.1387,0.4846,207.456,72.023,8.124
20240905,S4,57.965,8.7132,32.2807,25.0343,6.02E-05,0.1387,0.4672,207.367,71.994,8.123
20240905,S4,58.237,8.7082,32.2826,25.0365,6.02E-05,0.1277,0.4991,207.329,71.974,8.123
20240905,S4,58.508,8.7043,32.2828,25.0373,4.49E-05,0.1231,0.5136,207.263,71.945,8.123
20240905,S4,58.725,8.7038,32.2826,25.0372,6.02E-05,0.1241,0.56,207.157,71.907,8.123
20240905,S4,58.869,8.7023,32.283,25.0377,6.02E-05,0.1241,0.589,207.134,71.897,8.123
20240905,S4,59.007,8.695,32.2842,25.0398,6.02E-05,0.1323,0.5716,207.296,71.942,8.123
20240905,S4,59.182,8.6901,32.2845,25.0407,6.02E-05,0.1405,0.56,207.355,71.955,8.122
20240905,S4,59.366,8.6802,32.284,25.0419,6.02E-05,0.1396,0.5571,207.383,71.948,8.122
20240905,S4,59.543,8.6681,32.2851,25.0445,6.02E-05,0.1396,0.56,207.428,71.945,8.121
20240905,S4,59.749,8.6596,32.2847,25.0456,6.02E-05,0.1369,0.56,207.255,71.871,8.121
20240905,S4,59.974,8.6518,32.2843,25.0464,6.02E-05,0.1241,0.5571,206.861,71.722,8.12
20240905,S4,60.181,8.6471,32.2847,25.0474,6.02E-05,0.1241,0.5629,206.258,71.506,8.12
20240905,S4,60.406,8.6384,32.2865,25.0501,6.02E-05,0.1231,0.589,205.743,71.315,8.119
20240905,S4,60.64,8.6332,32.2867,25.0511,4.49E-05,0.1241,0.589,205.438,71.201,8.118
20240905,S4,60.821,8.6331,32.2858,25.0504,6.02E-05,0.1241,0.5919,205.329,71.162,8.118
20240905,S4,61.038,8.6366,32.2857,25.0498,6.02E-05,0.1231,0.589,205.451,71.21,8.118
20240905,S4,61.331,8.6452,32.287,25.0495,6.02E-05,0.1369,0.6296,205.552,71.259,8.117
20240905,S4,61.58,8.649,32.2893,25.0508,4.49E-05,0.1387,0.6354,205.466,71.237,8.117
20240905,S4,61.717,8.6601,32.2898,25.0495,6.02E-05,0.1387,0.6354,205.261,71.183,8.117
20240905,S4,61.842,8.6761,32.2926,25.0492,6.02E-05,0.1387,0.6354,205.113,71.159,8.117
20240905,S4,62.016,8.6875,32.2925,25.0475,4.49E-05,0.1387,0.6064,205.083,71.166,8.117
20240905,S4,62.196,8.7247,32.3034,25.0503,6.02E-05,0.1387,0.589,205.097,71.235,8.117
20240905,S4,62.399,8.7485,32.3135,25.0547,4.49E-05,0.1378,0.6122,205.235,71.326,8.118
20240905,S4,62.633,8.7481,32.3216,25.0611,6.02E-05,0.1387,0.6383,205.425,71.396,8.12
20240905,S4,62.821,8.73,32.3336,25.0732,4.49E-05,0.1332,0.618,205.745,71.484,8.123
